Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,9779.669922,9779.669922,9779.669922,9779.669922,9779.669922,0
2020-02-04,9578.870117,10095.690430,9578.870117,10089.669922,10089.669922,2393200
2020-02-05,10305.500000,10305.500000,10305.500000,10305.500000,10305.500000,0
2020-02-06,10306.120117,10633.169922,10214.809570,10601.339844,10601.339844,2280800
2020-02-07,10569.650391,10629.150391,10441.900391,10611.549805,10611.549805,2161300
2020-02-10,10728.459961,10728.459961,10728.459961,10728.459961,10728.459961,0
2020-02-11,10749.969727,10839.190430,10678.110352,10768.629883,10768.629883,1810500
2020-02-12,10940.799805,10940.799805,10940.799805,10940.799805,10940.799805,0
2020-02-13,10864.320313,10864.320313,10864.320313,10864.320313,10864.320313,0
2020-02-14,10854.459961,11017.650391,10822.129883,10916.309570,10916.309570,1870400
2020-02-17,10974.929688,11241.500000,10974.929688,11241.500000,11241.500000,2168300
2020-02-18,11306.490234,11306.490234,11306.490234,11306.490234,11306.490234,0
2020-02-19,11300.160156,11387.990234,11229.549805,11235.599609,11235.599609,2339600
2020-02-20,11509.089844,11509.089844,11509.089844,11509.089844,11509.089844,0
2020-02-21,11506.669922,11727.889648,11493.629883,11629.700195,11629.700195,2674700
2020-02-24,11620.629883,11809.750000,11548.410156,11772.379883,11772.379883,2774300
2020-02-25,11856.080078,11856.080078,11856.080078,11856.080078,11856.080078,0
2020-02-26,11497.549805,11497.549805,11497.549805,11497.549805,11497.549805,0
2020-02-27,11555.820313,11684.500000,11401.320313,11534.019531,11534.019531,2464500
2020-02-28,11150.660156,11338.349609,10962.240234,10980.769531,10980.769531,2800200
2020-03-02,11381.759766,11381.759766,11381.759766,11381.759766,11381.759766,0
2020-03-03,11597.660156,11734.179688,11378.759766,11484.209961,11484.209961,2659900
2020-03-04,11493.019531,11493.019531,11493.019531,11493.019531,11493.019531,0
2020-03-05,11644.410156,11739.839844,11521.290039,11711.370117,11711.370117,2529900
2020-03-06,11555.459961,11690.200195,11541.780273,11582.820313,11582.820313,2136600
2020-03-09,11363.790039,11407.469727,11100.910156,11108.549805,11108.549805,2489100
2020-03-10,11016.919922,11406.299805,10916.950195,11403.469727,11403.469727,2412300
2020-03-11,11436.440430,11444.780273,11197.089844,11200.049805,11200.049805,2046700
2020-03-12,11022.400391,11070.410156,10842.379883,10941.009766,10941.009766,1869800
2020-03-13,10382.219727,10956.509766,10380.169922,10831.129883,10831.129883,2245600
2020-03-16,10867.660156,10867.660156,10217.929688,10253.280273,10253.280273,2261500
2020-03-17,10337.919922,10449.330078,9885.860352,10202.750000,10202.750000,1957500
2020-03-18,10294.959961,10479.780273,10029.570313,10029.570313,10029.570313,1974900
2020-03-19,10023.120117,10101.799805,9719.490234,10019.860352,10019.860352,1933200
2020-03-20,10150.780273,10174.509766,9964.290039,10150.129883,10150.129883,1583700
2020-03-23,9828.900391,9929.959961,9659.349609,9691.530273,9691.530273,1634700
2020-03-24,9900.219727,9945.919922,9634.969727,9921.679688,9921.679688,1692200
2020-03-25,10171.469727,10255.580078,10111.360352,10241.080078,10241.080078,1809200
2020-03-26,10161.940430,10281.570313,10112.620117,10155.360352,10155.360352,1555200
2020-03-27,10300.620117,10310.530273,10105.719727,10109.910156,10109.910156,1423400
2020-03-30,9953.040039,9985.379883,9791.019531,9904.950195,9904.950195,1502800
2020-03-31,10008.030273,10047.980469,9925.679688,9962.299805,9962.299805,1317900
2020-04-01,9967.120117,10127.099609,9927.919922,9951.839844,9951.839844,1488300
2020-04-02,9910.379883,10179.200195,9896.650391,10179.200195,10179.200195,1445500
2020-04-03,10155.559570,10212.910156,10069.639648,10110.110352,10110.110352,1321800
2020-04-07,10312.709961,10441.740234,10296.719727,10428.910156,10428.910156,1706400
2020-04-08,10372.759766,10426.400391,10344.440430,10386.549805,10386.549805,1538400
2020-04-09,10453.860352,10485.299805,10401.169922,10463.049805,10463.049805,1386700
2020-04-10,10459.700195,10509.000000,10265.879883,10298.410156,10298.410156,1449200
2020-04-13,10225.530273,10295.169922,10173.120117,10223.160156,10223.160156,1145300
2020-04-14,10300.959961,10475.709961,10276.370117,10475.709961,10475.709961,1383600
2020-04-15,10468.459961,10528.730469,10404.509766,10417.370117,10417.370117,1547600
2020-04-16,10361.769531,10489.129883,10346.110352,10470.790039,10470.790039,1383300
2020-04-17,10562.900391,10624.540039,10507.799805,10527.990234,10527.990234,1711500
2020-04-20,10553.549805,10621.500000,10523.589844,10621.500000,10621.500000,1421200
2020-04-21,10577.719727,10577.719727,10394.440430,10506.860352,10506.860352,1464300
2020-04-22,10424.450195,10617.190430,10409.849609,10617.190430,10617.190430,1297100
2020-04-23,10657.400391,10667.009766,10557.940430,10564.049805,10564.049805,1421400
2020-04-24,10565.089844,10577.030273,10388.660156,10423.459961,10423.459961,1352700
2020-04-27,10449.129883,10531.389648,10367.290039,10452.169922,10452.169922,1236200
2020-04-28,10477.759766,10547.750000,10194.150391,10501.150391,10501.150391,1590300
2020-04-29,10460.990234,10586.570313,10449.370117,10514.169922,10514.169922,1186200
2020-04-30,10575.519531,10751.750000,10575.519531,10721.780273,10721.780273,1596700
2020-05-06,10618.169922,10884.339844,10613.889648,10883.219727,10883.219727,1680000
2020-05-07,10899.919922,10926.830078,10832.089844,10863.290039,10863.290039,1485300
2020-05-08,10923.610352,11054.309570,10904.879883,11001.580078,11001.580078,1546500
2020-05-11,11053.820313,11096.280273,10902.599609,10969.280273,10969.280273,1568100
2020-05-12,10972.049805,11018.929688,10871.610352,11015.559570,11015.559570,1328100
2020-05-13,10978.309570,11096.620117,10954.690430,11074.589844,11074.589844,1274100
2020-05-14,11026.709961,11047.379883,10955.540039,10962.150391,10962.150391,1367700
2020-05-15,11013.160156,11039.679688,10919.540039,10964.889648,10964.889648,1373500
2020-05-18,10969.080078,11017.500000,10858.459961,10921.150391,10921.150391,1617400
2020-05-19,11023.429688,11052.849609,10978.719727,11052.849609,11052.849609,1311500
2020-05-20,11056.980469,11056.980469,10914.750000,10948.480469,10948.480469,1491700
2020-05-21,10999.070313,11007.139648,10818.790039,10845.400391,10845.400391,1365000
2020-05-22,10832.910156,10832.910156,10559.299805,10604.969727,10604.969727,1273400
2020-05-25,10602.469727,10629.610352,10532.860352,10592.839844,10592.839844,980400
2020-05-26,10655.980469,10816.709961,10647.250000,10815.429688,10815.429688,1065600
2020-05-27,10823.240234,10823.240234,10657.809570,10682.700195,10682.700195,1129900
2020-05-28,10680.870117,10727.990234,10505.790039,10653.490234,10653.490234,1156400
2020-05-29,10615.139648,10764.870117,10588.740234,10746.080078,10746.080078,1210300
